Time - Plot 0,Amplitude - Plot 0
0,-0.00750743
10,-0.00751051
20,-0.00751067
30,-0.00751017
40,-0.00751082
50,-0.0075123
60,-0.00751233
70,-0.00751023
80,-0.00750928
90,-0.00750733
100,-0.00750445
110,-0.00750848
120,-0.00751026
130,-0.00751036
140,-0.00751004
150,-0.00750993
160,-0.00750899
170,-0.00750823
180,-0.00750799
190,-0.00750799
200,-0.00750791
210,-0.00750729
220,-0.00750567
230,-0.0075063
240,-0.00750783
250,-0.00750801
260,-0.00750907
270,-0.00750957
280,-0.00751
290,-0.00751091
300,-0.00750919
310,-0.0075056
320,-0.00750341
330,-0.00750164
340,-0.00750159
350,-0.00750017
360,-0.00749675
370,-0.00749585
380,-0.00749372
390,-0.00749221
400,-0.00749037
410,-0.00748825
420,-0.00748604
430,-0.00748413
440,-0.00748258
450,-0.00748104
460,-0.007481
470,-0.00748089
480,-0.007479
490,-0.00747736
500,-0.00747699
510,-0.00747669
520,-0.00747706
530,-0.00747771
540,-0.00747675
550,-0.00747576
560,-0.00747633
570,-0.00747606
580,-0.00747438
590,-0.00747326
600,-0.00747333
610,-0.00747398
620,-0.00747309
630,-0.00747662
640,-0.00747731
650,-0.00747873
660,-0.0074779
670,-0.00747766
680,-0.007479
690,-0.00747961
700,-0.00748007
710,-0.00747962
720,-0.00747952
730,-0.00747835
740,-0.00747828
750,-0.0074774
760,-0.00747444
770,-0.00747292
780,-0.00747133
790,-0.00746862
800,-0.00746738
810,-0.00746629
820,-0.00746585
830,-0.00746146
840,-0.00745352
850,-0.00744464
860,-0.00743489
870,-0.00742559
880,-0.0074168
890,-0.00741539
900,-0.00740668
910,-0.00739712
920,-0.00738755
930,-0.00737774
940,-0.00736946
950,-0.00736024
960,-0.00735191
970,-0.00734376
980,-0.00733587
990,-0.00732792
1000,-0.00732116
1010,-0.00731312
1020,-0.00730581
1030,-0.00729894
1040,-0.00729068
1050,-0.00728388
1060,-0.00727739
1070,-0.00727009
1080,-0.00726323
1090,-0.00725673
1100,-0.00725057
1110,-0.00724411
1120,-0.00723804
1130,-0.00723213
1140,-0.00722575
1150,-0.00721915
1160,-0.00721241
1170,-0.00720663
1180,-0.00720088
1190,-0.00719613
1200,-0.00719063
1210,-0.00718464
1220,-0.00717882
1230,-0.0071766
1240,-0.00717367
1250,-0.00716917
1260,-0.00716336
1270,-0.00715651
1280,-0.00715115
1290,-0.00714706
1300,-0.00714448
1310,-0.00714006
1320,-0.00713619
1330,-0.00713117
1340,-0.0071249
1350,-0.00712006
1360,-0.00711412
1370,-0.00710727
1380,-0.00710229
1390,-0.00709824
1400,-0.00709471
1410,-0.0070913
1420,-0.00708554
1430,-0.00708132
1440,-0.00707385
1450,-0.00706886
1460,-0.00706396
1470,-0.00705575
1480,-0.00704951
1490,-0.00704485
1500,-0.00704085
1510,-0.00703432
1520,-0.00702872
1530,-0.00702329
1540,-0.00701739
1550,-0.0070127
1560,-0.00700748
1570,-0.00700132
1580,-0.00699561
1590,-0.00699003
1600,-0.00698483
1610,-0.00697991
1620,-0.00697469
1630,-0.00696952
1640,-0.00696437
1650,-0.00695918
1660,-0.00695526
1670,-0.00695002
1680,-0.00694617
1690,-0.00694129
1700,-0.00693729
1710,-0.006932
1720,-0.00692854
1730,-0.00692509
1740,-0.00692092
1750,-0.00691808
1760,-0.00691326
1770,-0.00690801
1780,-0.00690562
1790,-0.00690038
1800,-0.00689586
1810,-0.00689138
1820,-0.00688656
1830,-0.00688224
1840,-0.00687783
1850,-0.00687374
1860,-0.00686991
1870,-0.00686617
1880,-0.00686157
1890,-0.00685585
1900,-0.00685108
1910,-0.00684801
1920,-0.00684329
1930,-0.00683847
1940,-0.00683385
1950,-0.00682873
1960,-0.00682332
1970,-0.00681903
1980,-0.00681644
1990,-0.00681411
2000,-0.00680977
2010,-0.00680543
2020,-0.00680084
2030,-0.00679557
2040,-0.00679044
2050,-0.0067853
2060,-0.00678012
2070,-0.00677579
2080,-0.00677396
2090,-0.00677561
2100,-0.00677334
