Time - Plot 0,Amplitude - Plot 0
0,0.000835
10,0.001918
20,0.001226
30,0.000287
40,0.000561
50,0.000431
60,0.001161
70,0.000887
80,0.000378
90,0.001239
100,0.001422
110,0.000535
120,0.000952
130,0.000848
140,0.000809
150,0.000939
160,6.50E-05
170,0.000483
180,0.000522
190,0.000665
200,0.000861
210,0.001044
220,0.000744
230,0.000822
240,0.000783
250,0.000744
260,0.001005
270,0.000535
280,0.001148
290,0.001109
300,0.000418
310,0.000509
320,-0.000365
330,0.000522
340,0.000692
350,0.000548
360,0.000352
370,0.00047
380,0.000274
390,2.60E-05
400,0.001213
410,-0.000104
420,0.000313
430,0.000535
440,0.000431
450,0.000274
460,0.000979
470,0.001031
480,0.000183
490,0.00017
500,-0.000248
510,0.000352
520,-2.60E-05
530,0.000848
540,0.001096
550,0.000835
560,0.000157
570,0.000522
580,0.000835
590,0.000496
600,-0.000365
610,-0.000535
620,0.000548
630,0.001213
640,0.00047
650,0.000457
660,0.000992
670,0.000418
680,0.000235
690,1.30E-05
700,0.000339
710,0.000261
720,-0.000248
730,0.000261
740,0.00047
750,0.000196
760,0.000548
770,0.000626
780,0.000496
790,0.000352
800,0.000496
810,-0.0006
820,0.000209
830,3.90E-05
840,0.000418
850,0.000457
860,2.60E-05
870,0.000391
880,0.000548
890,0.000117
900,0.000678
910,0.000835
920,0.000822
930,0.000444
940,0.000235
950,0.000822
960,0.000757
970,0.001239
980,0.000822
990,0.002075
1000,0.001618
1010,0.001748
1020,0.001866
1030,0.001344
1040,0.001735
1050,0.001018
1060,0.001827
1070,0.00184
1080,0.0012
1090,0.001253
1100,0.001057
1110,0.001553
1120,0.000548
1130,0.00107
1140,0.001279
1150,0.001005
1160,0.001122
1170,0.000431
1180,0.001279
1190,0.000992
1200,0.000939
1210,0.000587
1220,0.000483
1230,0.000522
1240,0.000639
1250,0.000587
1260,0.000692
1270,0.00017
1280,0.000939
1290,0.000574
1300,0.0006
1310,0.000391
1320,0.000144
1330,0.000339
1340,0.000744
1350,0.000705
1360,0.000339
1370,-3.90E-05
1380,0.000209
1390,0.0006
1400,0.000457
1410,0.000222
1420,0.000117
1430,0.000196
1440,-0.00013
1450,-0.000391
1460,-0.001513
1470,-0.001801
1480,-0.003014
1490,-0.003197
1500,-0.003992
1510,-0.004736
1520,-0.005519
1530,-0.005806
1540,-0.007306
1550,-0.006967
1560,-0.00758
1570,-0.008011
1580,-0.008716
1590,-0.008885
1600,-0.00852
1610,-0.009003
1620,-0.008729
1630,-0.009772
1640,-0.00972
1650,-0.010894
1660,-0.010112
1670,-0.01019
1680,-0.010294
1690,-0.009668
1700,-0.010085
1710,-0.010712
1720,-0.010973
1730,-0.010868
1740,-0.011416
1750,-0.011299
1760,-0.011234
1770,-0.010151
1780,-0.012147
1790,-0.011168
1800,-0.011455
1810,-0.012016
1820,-0.012069
1830,-0.011508
1840,-0.011651
1850,-0.011195
1860,-0.011847
1870,-0.011168
1880,-0.011455
1890,-0.012134
1900,-0.011469
1910,-0.012708
1920,-0.011625
1930,-0.012421
1940,-0.01126
1950,-0.01203
1960,-0.011469
1970,-0.011769
1980,-0.011873
1990,-0.01126
2000,-0.012095
2010,-0.011912
2020,-0.012421
2030,-0.011782
2040,-0.011795
2050,-0.012043
2060,-0.011756
2070,-0.012134
2080,-0.011847
2090,-0.012525
2100,-0.012356
